"Country","Disease","Year","Month","Week_num","Week_type","Week_date","hospitalisation_num","hospitalisation_rate","RSV_A","RSV_B","Population"
"Türkiye","RSV",2024,1,1,"isoweek","01/01/2024",29,NA,NA,NA,86061408
"Türkiye","RSV",2023,12,52,"isoweek","25/12/2023",23,NA,NA,NA,85816199
"Türkiye","RSV",2023,12,51,"isoweek","18/12/2023",20,NA,NA,NA,85816199
"Türkiye","RSV",2023,12,50,"isoweek","11/12/2023",29,NA,NA,NA,85816199
"Türkiye","RSV",2023,12,49,"isoweek","04/12/2023",24,NA,NA,NA,85816199
"Türkiye","RSV",2023,11,48,"isoweek","27/11/2023",18,NA,NA,NA,85816199
"Türkiye","RSV",2023,11,47,"isoweek","20/11/2023",9,NA,NA,NA,85816199
"Türkiye","RSV",2023,11,46,"isoweek","13/11/2023",4,NA,NA,NA,85816199
"Türkiye","RSV",2023,11,45,"isoweek","06/11/2023",5,NA,NA,NA,85816199
"Türkiye","RSV",2023,10,44,"isoweek","30/10/2023",2,NA,NA,NA,85816199
"Türkiye","RSV",2023,10,43,"isoweek","23/10/2023",2,NA,NA,NA,85816199
"Türkiye","RSV",2023,10,42,"isoweek","16/10/2023",1,NA,NA,NA,85816199
"Türkiye","RSV",2023,10,41,"isoweek","09/10/2023",0,NA,NA,NA,85816199
"Türkiye","RSV",2023,10,40,"isoweek","02/10/2023",0,NA,NA,NA,85816199
"Türkiye","RSV",2023,9,39,"isoweek","25/09/2023",1,NA,NA,NA,85816199
"Türkiye","RSV",2023,8,35,"isoweek","28/08/2023",2,NA,NA,NA,85816199
"Türkiye","RSV",2023,7,30,"isoweek","24/07/2023",1,NA,NA,NA,85816199
"Türkiye","RSV",2023,6,24,"isoweek","12/06/2023",3,NA,NA,NA,85816199
"Türkiye","RSV",2023,5,20,"isoweek","15/05/2023",2,NA,NA,NA,85816199
"Türkiye","RSV",2023,5,19,"isoweek","08/05/2023",0,NA,NA,NA,85816199
"Türkiye","RSV",2023,5,18,"isoweek","01/05/2023",0,NA,NA,NA,85816199
"Türkiye","RSV",2023,4,17,"isoweek","24/04/2023",1,NA,NA,NA,85816199
"Türkiye","RSV",2023,4,16,"isoweek","17/04/2023",0,NA,NA,NA,85816199
"Türkiye","RSV",2023,4,15,"isoweek","10/04/2023",0,NA,NA,NA,85816199
"Türkiye","RSV",2023,4,14,"isoweek","03/04/2023",0,NA,NA,NA,85816199
"Türkiye","RSV",2023,3,13,"isoweek","27/03/2023",1,NA,NA,NA,85816199
"Türkiye","RSV",2023,3,12,"isoweek","20/03/2023",4,NA,NA,NA,85816199
"Türkiye","RSV",2023,3,11,"isoweek","13/03/2023",2,NA,NA,NA,85816199
"Türkiye","RSV",2023,3,10,"isoweek","06/03/2023",12,NA,NA,NA,85816199
"Türkiye","RSV",2023,2,9,"isoweek","27/02/2023",9,NA,NA,NA,85816199
"Türkiye","RSV",2023,2,8,"isoweek","20/02/2023",13,NA,NA,NA,85816199
"Türkiye","RSV",2023,2,7,"isoweek","13/02/2023",11,NA,NA,NA,85816199
"Türkiye","RSV",2023,2,6,"isoweek","06/02/2023",4,NA,NA,NA,85816199
"Türkiye","RSV",2023,1,5,"isoweek","30/01/2023",11,NA,NA,NA,85816199
"Türkiye","RSV",2023,1,4,"isoweek","23/01/2023",9,NA,NA,NA,85816199
"Türkiye","RSV",2023,1,3,"isoweek","16/01/2023",14,NA,NA,NA,85816199
"Türkiye","RSV",2023,1,2,"isoweek","09/01/2023",19,NA,NA,NA,85816199
"Türkiye","RSV",2023,1,1,"isoweek","02/01/2023",21,NA,NA,NA,85816199
"Türkiye","RSV",2022,12,52,"isoweek","26/12/2022",33,NA,NA,NA,85279553
"Türkiye","RSV",2022,12,51,"isoweek","19/12/2022",29,NA,NA,NA,85279553
"Türkiye","RSV",2022,12,50,"isoweek","12/12/2022",36,NA,NA,NA,85279553
"Türkiye","RSV",2022,12,49,"isoweek","05/12/2022",27,NA,NA,NA,85279553
"Türkiye","RSV",2022,11,48,"isoweek","28/11/2022",20,NA,NA,NA,85279553
"Türkiye","RSV",2022,11,47,"isoweek","21/11/2022",28,NA,NA,NA,85279553
"Türkiye","RSV",2022,11,46,"isoweek","14/11/2022",24,NA,NA,NA,85279553
"Türkiye","RSV",2022,11,45,"isoweek","07/11/2022",8,NA,NA,NA,85279553
"Türkiye","RSV",2022,10,44,"isoweek","31/10/2022",6,NA,NA,NA,85279553
"Türkiye","RSV",2022,10,43,"isoweek","24/10/2022",2,NA,NA,NA,85279553
"Türkiye","RSV",2022,10,42,"isoweek","17/10/2022",1,NA,NA,NA,85279553
"Türkiye","RSV",2022,10,41,"isoweek","10/10/2022",4,NA,NA,NA,85279553
"Türkiye","RSV",2022,10,40,"isoweek","03/10/2022",1,NA,NA,NA,85279553
"Türkiye","RSV",2022,9,39,"isoweek","26/09/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,5,20,"isoweek","16/05/2022",1,NA,NA,NA,85279553
"Türkiye","RSV",2022,5,19,"isoweek","09/05/2022",1,NA,NA,NA,85279553
"Türkiye","RSV",2022,5,18,"isoweek","02/05/2022",2,NA,NA,NA,85279553
"Türkiye","RSV",2022,4,17,"isoweek","25/04/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,4,16,"isoweek","18/04/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,4,15,"isoweek","11/04/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,4,14,"isoweek","04/04/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,3,13,"isoweek","28/03/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,3,12,"isoweek","21/03/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,3,11,"isoweek","14/03/2022",1,NA,NA,NA,85279553
"Türkiye","RSV",2022,3,10,"isoweek","07/03/2022",1,NA,NA,NA,85279553
"Türkiye","RSV",2022,2,9,"isoweek","28/02/2022",1,NA,NA,NA,85279553
"Türkiye","RSV",2022,2,8,"isoweek","21/02/2022",1,NA,NA,NA,85279553
"Türkiye","RSV",2022,2,7,"isoweek","14/02/2022",3,NA,NA,NA,85279553
"Türkiye","RSV",2022,2,6,"isoweek","07/02/2022",2,NA,NA,NA,85279553
"Türkiye","RSV",2022,1,5,"isoweek","31/01/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,1,4,"isoweek","24/01/2022",0,NA,NA,NA,85279553
"Türkiye","RSV",2022,1,3,"isoweek","17/01/2022",3,NA,NA,NA,85279553
"Türkiye","RSV",2022,1,2,"isoweek","10/01/2022",9,NA,NA,NA,85279553
"Türkiye","RSV",2022,1,2,"isoweek","10/01/2022",7,NA,NA,NA,85279553
"Türkiye","RSV",2022,1,1,"isoweek","03/01/2022",12,NA,NA,NA,85279553
"Türkiye","RSV",2022,1,1,"isoweek","03/01/2022",6,NA,NA,NA,85279553
"Türkiye","RSV",2021,12,52,"isoweek","27/12/2021",8,NA,NA,NA,84680273
"Türkiye","RSV",2021,12,51,"isoweek","20/12/2021",14,NA,NA,NA,84680273
"Türkiye","RSV",2021,12,50,"isoweek","13/12/2021",11,NA,NA,NA,84680273
"Türkiye","RSV",2021,12,49,"isoweek","06/12/2021",11,NA,NA,NA,84680273
"Türkiye","RSV",2021,11,48,"isoweek","29/11/2021",19,NA,NA,NA,84680273
